Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450025530;FONTAINE_BOIS;Wallace Bois;;;ROUTE CEINTURE LAC DAUMESNIL;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4189525803558047, 48.828208714207534], ""type"": ""Point""}";48.828208714207534, 2.4189525803558047
450025582;FONTAINE_BOIS;Wallace Bois;;;ILE DE BERCY;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4103728123937005, 48.83253300612357], ""type"": ""Point""}";48.83253300612357, 2.4103728123937005
450024979;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;AVENUE CHARLES RISLER;PARIS 7EME ARRONDISSEMENT;NON;2022-07-11T04:00:00+02:00;;APP SANS EAU;"{""coordinates"": [2.300101116728372, 48.85346752004517], ""type"": ""Point""}";48.85346752004517, 2.300101116728372
450025361;FONTAINE_BOIS;Wallace Bois;;;AVENUE DAUMESNIL;PARIS 12EME ARRONDISSEMENT;NON;2024-08-28T04:00:00+02:00;2024-09-06T04:00:00+02:00;APP A REPARER;"{""coordinates"": [2.425587493947359, 48.837581281296686], ""type"": ""Point""}";48.837581281296686, 2.425587493947359
450025566;FONTAINE_BOIS;Wallace Bois;18F;;ROUTE CEINTURE LAC DAUMESNIL;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.416627156953506, 48.83140057743249], ""type"": ""Point""}";48.83140057743249, 2.416627156953506
450072252;FONTAINE_BOIS;Salamandre;;;BOULEVARD KELLERMANN;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3544302221288707, 48.81854472544921], ""type"": ""Point""}";48.81854472544921, 2.3544302221288707
450072253;FONTAINE_BOIS;Particulier;;;PARC KELLERMANN;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.35535911158564, 48.81768633492469], ""type"": ""Point""}";48.81768633492469, 2.35535911158564
450072309;FONTAINE_BOIS;Bayard D1;;;JARDIN DE L ABBE LEMIRE;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3152380182920953, 48.83558883761192], ""type"": ""Point""}";48.83558883761192, 2.3152380182920953
450071811;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;19F;SQUARE PAUL LANGEVIN;PARIS 5EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3506605896480237, 48.847622808362665], ""type"": ""Point""}";48.847622808362665, 2.3506605896480237
450072182;FONTAINE_BOIS;GHM Bois;;21;RUE ROTTEMBOURG;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.406491080256913, 48.83880394149127], ""type"": ""Point""}";48.83880394149127, 2.406491080256913
450072238;FONTAINE_BOIS;Santa Cole Atlantida;22;;RUE THOMAS MANN;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.379551820221954, 48.82999177887768], ""type"": ""Point""}";48.82999177887768, 2.379551820221954
450072445;FONTAINE_BOIS;GHM Bois;30F;;RUE JACQUES KELLNER;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.325437871250677, 48.895935227898256], ""type"": ""Point""}";48.895935227898256, 2.325437871250677
450071820;FONTAINE_BOIS;GHM Bois;;;SQUARE FELIX DESRUELLES;PARIS 6EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3343433245580516, 48.85370612530932], ""type"": ""Point""}";48.85370612530932, 2.3343433245580516
450071841;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;ALLEE THOMY THIERRY;PARIS 7EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.2949236368928383, 48.85690106211306], ""type"": ""Point""}";48.85690106211306, 2.2949236368928383
450072212;FONTAINE_BOIS;GHM Bois;8F;;RUE EMILE DESLANDRES;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3498670485065034, 48.83452916976874], ""type"": ""Point""}";48.83452916976874, 2.3498670485065034
450071932;FONTAINE_BOIS;GHM Bois;162F;;QUAI DE JEMMAPES;PARIS 10EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.366415427753152, 48.87828089660586], ""type"": ""Point""}";48.87828089660586, 2.366415427753152
450072138;FONTAINE_BOIS;GHM Bois;;FACE 6;RUE DE BELFORT;PARIS 11EME ARRONDISSEMENT;NON;2024-01-15T02:00:00+01:00;;APP SUR CHANTIER;"{""coordinates"": [2.3835958520415472, 48.85670927050683], ""type"": ""Point""}";48.85670927050683, 2.3835958520415472
450071754;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;PLACE DES VOSGES;PARIS 4EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3654382024088902, 48.85578603593997], ""type"": ""Point""}";48.85578603593997, 2.3654382024088902
450072476;FONTAINE_BOIS;Santa Cole Atlantida;;;PARC CLICHY BATIGNOLLES MARTIN LUTHER KING;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3148001291417297, 48.891451003773916], ""type"": ""Point""}";48.891451003773916, 2.3148001291417297
450071862;FONTAINE_BOIS;GHM Bois;;;JARDIN DES CHAMPS ELYSEES;PARIS 8EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.318967372023059, 48.866870703213884], ""type"": ""Point""}";48.866870703213884, 2.318967372023059
450072630;FONTAINE_BOIS;GHM Bois;;3;RUE ELISA BOREY;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3898262455438988, 48.86691239250952], ""type"": ""Point""}";48.86691239250952, 2.3898262455438988
